timestamp,session_id,round,opponent,reaction_time_ms,won,false_start
2026-04-23T17:26:28,20260423T172628,1,LeylaR,14304,1,0
2026-04-23T17:26:44,20260423T172628,2,LeylaR,,0,1
2026-04-23T17:26:51,20260423T172650,1,LeylaR,,1,0
2026-04-23T17:26:58,20260423T172657,1,LeylaR,,1,0
2026-04-23T17:27:23,20260423T172704,1,LeylaR,175,1,0
2026-04-23T17:27:32,20260423T172704,2,LeylaR,256,1,0
2026-04-23T17:27:46,20260423T172704,3,LeylaR,,0,0
2026-04-23T17:27:53,20260423T172704,4,LeylaR,,0,0
2026-04-23T17:27:55,20260423T172704,5,LeylaR,,0,1
