timestamp,session_id,winner,loser,final_score
2026-04-23T14:54:00,20260423T145315,Leyla,Tamella,3-1
2026-04-23T15:14:12,20260423T145411,Leyla,Tamella,3-2
2026-04-23T17:27:55,20260423T172704,LeylaR,LeylaH,3-2
2026-04-30T17:52:53,20260430T175217,user1,user2,3-1
2026-04-30T17:54:26,20260430T175259,user1,user2,3-2
2026-04-30T18:17:56,20260430T181700,user2,user1,1-3
2026-05-05T16:29:07,20260505T162834,B,L,3-0
2026-05-05T17:18:16,20260505T171739,B,A,0-3
2026-05-05T17:20:12,20260505T171821,A,B,3-2
